" ""local_time"": ""America/Chicago"""," ""electricity"": ""kW""}"
1/4/2019 11:00,0.706
1/4/2019 12:00,0.722
1/4/2019 13:00,0.703
1/4/2019 14:00,0.603
1/4/2019 15:00,0.407
1/4/2019 16:00,0.338
1/4/2019 17:00,0.308
1/4/2019 18:00,0.325
1/4/2019 19:00,0.337
1/4/2019 20:00,0.323
1/4/2019 21:00,0.295
1/4/2019 22:00,0.268
1/4/2019 23:00,0.27
1/5/2019 0:00,0.263
1/5/2019 1:00,0.245
1/5/2019 2:00,0.218
1/5/2019 3:00,0.17
1/5/2019 4:00,0.108
1/5/2019 5:00,0.071
1/5/2019 6:00,0.046
1/5/2019 7:00,0.039
1/5/2019 8:00,0.028
1/5/2019 9:00,0.029
1/5/2019 10:00,0.051
1/5/2019 11:00,0.085
1/5/2019 12:00,0.098
1/5/2019 13:00,0.087
1/5/2019 14:00,0.066
1/5/2019 15:00,0.052
1/5/2019 16:00,0.098
1/5/2019 17:00,0.138
1/5/2019 18:00,0.139
1/5/2019 19:00,0.124
1/5/2019 20:00,0.199
1/5/2019 21:00,0.321
1/5/2019 22:00,0.323
1/5/2019 23:00,0.245
1/6/2019 0:00,0.144
1/6/2019 1:00,0.088
1/6/2019 2:00,0.051
1/6/2019 3:00,0.032
1/6/2019 4:00,0.036
1/6/2019 5:00,0.052
1/6/2019 6:00,0.07
1/6/2019 7:00,0.052
1/6/2019 8:00,0.001
1/6/2019 9:00,0
1/6/2019 10:00,0
1/6/2019 11:00,0
1/6/2019 12:00,0
1/6/2019 13:00,0
1/6/2019 14:00,0
1/6/2019 15:00,0.001
1/6/2019 16:00,0.009
1/6/2019 17:00,0.036
1/6/2019 18:00,0.053
1/6/2019 19:00,0.046
1/6/2019 20:00,0.026
1/6/2019 21:00,0.015
1/6/2019 22:00,0.048
1/6/2019 23:00,0.147
1/7/2019 0:00,0.284
1/7/2019 1:00,0.4
1/7/2019 2:00,0.413
1/7/2019 3:00,0.376
1/7/2019 4:00,0.367
1/7/2019 5:00,0.36
1/7/2019 6:00,0.383
1/7/2019 7:00,0.234
1/7/2019 8:00,0.018
1/7/2019 9:00,0.035
1/7/2019 10:00,0.194
