" ""local_time"": ""America/Chicago"""," ""electricity"": ""kW""}"
1/9/2019 20:00,0.527
1/9/2019 21:00,0.561
1/9/2019 22:00,0.547
1/9/2019 23:00,0.561
1/10/2019 0:00,0.57
1/10/2019 1:00,0.571
1/10/2019 2:00,0.557
1/10/2019 3:00,0.538
1/10/2019 4:00,0.507
1/10/2019 5:00,0.478
1/10/2019 6:00,0.441
1/10/2019 7:00,0.268
1/10/2019 8:00,0.247
1/10/2019 9:00,0.167
1/10/2019 10:00,0.106
1/10/2019 11:00,0.118
1/10/2019 12:00,0.131
1/10/2019 13:00,0.152
1/10/2019 14:00,0.179
1/10/2019 15:00,0.195
1/10/2019 16:00,0.31
1/10/2019 17:00,0.462
1/10/2019 18:00,0.467
1/10/2019 19:00,0.423
1/10/2019 20:00,0.384
1/10/2019 21:00,0.358
1/10/2019 22:00,0.337
1/10/2019 23:00,0.335
1/11/2019 0:00,0.336
1/11/2019 1:00,0.328
1/11/2019 2:00,0.296
1/11/2019 3:00,0.255
1/11/2019 4:00,0.227
1/11/2019 5:00,0.211
1/11/2019 6:00,0.197
1/11/2019 7:00,0.103
1/11/2019 8:00,0.035
1/11/2019 9:00,0.041
1/11/2019 10:00,0.021
1/11/2019 11:00,0.01
1/11/2019 12:00,0.007
1/11/2019 13:00,0.006
1/11/2019 14:00,0.007
1/11/2019 15:00,0.012
1/11/2019 16:00,0.027
1/11/2019 17:00,0.067
1/11/2019 18:00,0.14
1/11/2019 19:00,0.231
1/11/2019 20:00,0.3
1/11/2019 21:00,0.347
1/11/2019 22:00,0.359
1/11/2019 23:00,0.32
1/12/2019 0:00,0.271
1/12/2019 1:00,0.209
1/12/2019 2:00,0.188
1/12/2019 3:00,0.208
1/12/2019 4:00,0.231
1/12/2019 5:00,0.251
1/12/2019 6:00,0.362
1/12/2019 7:00,0.358
1/12/2019 8:00,0.352
1/12/2019 9:00,0.3
1/12/2019 10:00,0.316
1/12/2019 11:00,0.444
1/12/2019 12:00,0.59
1/12/2019 13:00,0.624
1/12/2019 14:00,0.623
1/12/2019 15:00,0.623
1/12/2019 16:00,0.589
1/12/2019 17:00,0.552
1/12/2019 18:00,0.586
1/12/2019 19:00,0.525
1/12/2019 20:00,0.49
1/12/2019 21:00,0.431
1/12/2019 22:00,0.409
1/12/2019 23:00,0.379
1/13/2019 0:00,0.323
1/13/2019 1:00,0.306
1/13/2019 2:00,0.312
1/13/2019 3:00,0.362
1/13/2019 4:00,0.342
1/13/2019 5:00,0.325
1/13/2019 6:00,0.305
1/13/2019 7:00,0.267
1/13/2019 8:00,0.264
1/13/2019 9:00,0.263
1/13/2019 10:00,0.249
1/13/2019 11:00,0.255
1/13/2019 12:00,0.281
1/13/2019 13:00,0.306
1/13/2019 14:00,0.332
1/13/2019 15:00,0.368
1/13/2019 16:00,0.389
1/13/2019 17:00,0.457
1/13/2019 18:00,0.422
1/13/2019 19:00,0.363
1/13/2019 20:00,0.346
1/13/2019 21:00,0.323
1/13/2019 22:00,0.283
1/13/2019 23:00,0.243
1/14/2019 0:00,0.232
1/14/2019 1:00,0.248
1/14/2019 2:00,0.284
1/14/2019 3:00,0.32
1/14/2019 4:00,0.311
1/14/2019 5:00,0.281
1/14/2019 6:00,0.27
1/14/2019 7:00,0.214
1/14/2019 8:00,0.217
1/14/2019 9:00,0.185
1/14/2019 10:00,0.154
1/14/2019 11:00,0.139
1/14/2019 12:00,0.142
1/14/2019 13:00,0.163
