Origin,Destination,Distance,Average Speed
SanAntonio,CorpusChristi,159,60
Jackson,NewOrleans,186,60
Dallas,Shreveport,188,60
Houston,SanAntonio,195,60
Jackson,Shreveport,217,60
Houston,Dallas,239,60
