City,Lat,Lon,Population
LongBeach,33.77005,-118.193741,466742
LosAngeles,34.052235,-118.243683,3878704
SanFransisco,10.4334,-83.6437,827526
SanDiego,32.715736,-117.161087,1419516
LasVegas,36.169941,-115.139832,646794
Fresno,36.737797,-119.787125,542107
Phoenix,33.448376,-112.074036,1675144
