City,Lat,Lon,Population
Houston,29.760427,-95.369804,2390125
SanAntonio,29.425171,-98.494614,1526656
Dallas,32.777981,-96.796211,1326087
CorpusChristi,27.796416,-97.404131,450187
Austin,30.267153,-97.743057,"993,588"
FortWorth,32.749901,-97.330338,1015045
Laredo,27.503561,-99.507553,"256,153"
